,Mass,Radius,Temperature,Density,Luminosity,Hydrogen,Opacity,Pressure,Velocity
330,6.566133382075549e+32,14199242505.60303,8657038.59368162,35.85227886306673,1.9953535380084408e+33,0.7282121879845536,2.7563711636286556,4.248454003085662e+16,4.682821126612777e-12
331,6.586030755960627e+32,14221113574.399534,8648677.701683896,35.74860796646275,1.9966738623027482e+33,0.7282401400335053,2.7628285545978786,4.2321671980553144e+16,4.648749956775839e-12
332,6.605928129845704e+32,14242980711.54167,8640335.204670148,35.64508086742973,1.9979846304999233e+33,0.7282678824035962,2.7691817852186484,4.215928747633321e+16,4.61493052210689e-12
333,6.625825503730781e+32,14264844128.390018,8632011.23771232,35.54169667188523,1.9992859125101082e+33,0.7282954164897267,2.7754310034399263,4.199738499719259e+16,4.5813611873292806e-12
334,6.645722877615858e+32,14286704036.030424,8623705.935268382,35.438454499062374,2.0005777778002534e+33,0.7283227436806596,2.7815763597987484,4.183596303198278e+16,4.548040324093616e-12
335,6.665620251500936e+32,14308560645.286459,8615419.43117686,35.335353481476886,2.0018602953958098e+33,0.7283498653590091,2.787618007437042,4.167502007932927e+16,4.5149663109876695e-12
336,6.685517625386014e+32,14330414166.731724,8607151.858651169,35.23239276489602,2.003133533882423e+33,0.7283767829012313,2.793556102118695,4.151455464755204e+16,4.482137533545614e-12
337,6.70541499927109e+32,14352264810.702045,8598901.391310481,35.12958166787693,2.00439756093256e+33,0.728403498955945,2.7993949337346096,4.135456783314361e+16,4.449549015814047e-12
338,6.725312373156168e+32,14374112780.998638,8590651.87513296,35.02698423363469,2.0056524390949632e+33,0.7284300403298428,2.805167377674943,4.1195057200852936e+16,4.41716904202179e-12
339,6.745209747041246e+32,14395958240.77751,8582400.307880444,34.9246113243279,2.006898225488389e+33,0.7284564130043826,2.8108796388688697,4.103602067273901e+16,4.384990838535437e-12
340,6.765107120926321e+32,14417801345.444878,8574146.898417324,34.82246130430191,2.0081349761843766e+33,0.7284826176110032,2.8165314718224286,4.0877456759385256e+16,4.353013695457498e-12
341,6.7850044948114e+32,14439642250.437523,8565891.85522953,34.7205325505844,2.009362747066301e+33,0.7285086547847732,2.8221226343434833,4.071936397911894e+16,4.321236898091314e-12
342,6.804901868696478e+32,14461481111.232332,8557635.386427283,34.61882345282484,2.0105815938278976e+33,0.7285345251642874,2.827652887524422,4.056174085797513e+16,4.289659727065514e-12
343,6.824799242581555e+32,14483318083.355858,8549377.699747587,34.51733241323507,2.0117915719718255e+33,0.728560229391563,2.833121995725683,4.040458592965992e+16,4.258281458456638e-12
344,6.844696616466633e+32,14505153322.393795,8541119.002556652,34.41605784652949,2.012992736808262e+33,0.7285857681119389,2.838529726559707,4.024789773551205e+16,4.227101363910204e-12
345,6.86459399035171e+32,14526986984.000422,8532859.499531407,34.3149994493387,2.0141851434716906e+33,0.7286111410197769,2.843875959927971,4.009167626785818e+16,4.196118855249053e-12
346,6.884491364236787e+32,14548819223.101538,8524599.400596533,34.214155803691916,2.0153688469255245e+33,0.7286363486507925,2.8491604778121014,3.993592025764281e+16,4.165333217867612e-12
347,6.904388738121865e+32,14570650194.614943,8516338.915945083,34.11352391196656,2.0165439019194855e+33,0.728661392746344,2.8543829314450218,3.978062662518664e+16,4.13474354789912e-12
