,Mass,Radius,Temperature,Density,Luminosity,Hydrogen,Opacity,Convection,Pressure,Velocity
52,1.7881359828780614e+28,361920000.0,14505219.157177696,90.0304480291275,3.0857470425491552e+29,0.732,1.446116605012,0.0,1.7926644317400656e+17,1.2061147610008636e-10
53,1.8932727387112419e+28,368880000.0,14505035.334541872,90.02872351760402,3.267012585579475e+29,0.732,1.4461429678535302,0.0,1.7926073759319334e+17,1.206012740139728e-10
54,2.002450628743387e+28,375840000.0,14504844.45319045,90.02698775684549,3.455229249738332e+29,0.732,1.446170982738603,0.0,1.7925492246719574e+17,1.20590754932792e-10
55,2.115745740328917e+28,382800000.0,14504653.569832444,90.02519694977576,3.6505266815831774e+29,0.732,1.446198359422993,0.0,1.792489978047594e+17,1.2058016317435771e-10
56,2.233234151787825e+28,389760000.0,14504455.628971796,90.02339489078499,3.853034443402858e+29,0.732,1.4462273880130851,0.0,1.792429636176791e+17,1.2056925462841436e-10
57,2.354991932242994e+28,396720000.0,14504257.685967866,90.02153779181346,4.0628820116549016e+29,0.732,1.4462557785222563,0.0,1.7923681991503456e+17,1.2055827350395377e-10
58,2.4810951414458903e+28,403680000.0,14504052.686719408,90.01966943813962,4.2801987754616274e+29,0.732,1.4462858207940261,0.0,1.792305667090606e+17,1.2054697580712436e-10
59,2.611619829614545e+28,410640000.0,14503847.685186518,90.01774605104988,4.5051140350476316e+29,0.732,1.4463152251088718,0.0,1.7922420400917088e+17,1.2053560563405666e-10
60,2.7466420372586074e+28,417600000.0,14503635.628712341,90.01581140638154,4.7377570002425766e+29,0.732,1.4463462810379544,0.0,1.792177318280401e+17,1.2052391911132722e-10
61,2.886237795018042e+28,424560000.0,14503423.569808133,90.01382173509651,4.9782567889187715e+29,0.732,1.446376699138343,0.0,1.7921115017541578e+17,1.205121602181726e-10
62,3.030483123487486e+28,431520000.0,14503204.45731097,90.01182080326183,5.226742425500985e+29,0.732,1.4464087686993512,0.0,1.7920445906441245e+17,1.2050008520561364e-10
63,3.17945403305572e+28,438480000.0,14502985.342233732,90.00976485184395,5.483342839404005e+29,0.732,1.4464402005641306,0.0,1.7919765850511142e+17,1.2048793793196747e-10
64,3.333226523729281e+28,445440000.0,14502759.174956936,90.00769763681085,5.748186863549829e+29,0.732,1.4464732837306595,0.0,1.7919074851106688e+17,1.2047547477670809e-10
65,3.4918765849727505e+28,452400000.0,14502533.00494557,90.00557540946241,6.021403232805071e+29,0.732,1.446505729337658,0.0,1.7918372909269392e+17,1.2046293947321551e-10
66,3.655480195531578e+28,459360000.0,14502299.784173071,90.00344191533878,6.3031205825058965e+29,0.732,1.4465398260822866,0.0,1.7917660026398618e+17,1.2045008853341717e-10
67,3.824113323273242e+28,466320000.0,14502066.560507065,90.00125341640205,6.59346744689515e+29,0.732,1.4465732854083182,0.0,1.7916936203569248e+17,1.204371655617454e-10
68,3.997851925009228e+28,473280000.0,14501826.287563339,89.99905364743613,6.892572257655389e+29,0.732,1.4466083957026146,0.0,1.791620144222458e+17,1.2042392720657417e-10
69,4.176771946337114e+28,480240000.0,14501586.011562727,89.99679888139363,7.200563342345588e+29,0.732,1.4466428687234791,0.0,1.7915455743472858e+17,1.2041061693938567e-10
70,4.360949321461657e+28,487200000.0,14501338.687812766,89.99453284197408,7.517568922942669e+29,0.732,1.446678992538001,0.0,1.7914699108801302e+17,1.2039699154898413e-10
71,4.550459973037854e+28,494160000.0,14501091.360838098,89.99221181344888,7.843717114277611e+29,0.732,1.4467144792284912,0.0,1.791393153935152e+17,1.2038329436990763e-10
72,4.745379811991085e+28,501120000.0,14500836.98768737,89.98987950810516,8.179135922585859e+29,0.732,1.4467516165327918,0.0,1.7913153036654627e+17,1.2036928233536594e-10
73,4.945784737361208e+28,508080000.0,14500582.611139676,89.98749222186099,8.523953243942698e+29,0.732,1.4467881168666934,0.0,1.7912363601885584e+17,1.2035519863896708e-10
74,5.15175063612169e+28,515040000.0,14500321.190034088,89.98509365526357,8.878296862822915e+29,0.732,1.4468262676293238,0.0,1.7911563236619395e+17,1.2034080036229282e-10
75,5.363353383024811e+28,522000000.0,14500059.765354836,89.98264011620526,9.242294450535277e+29,0.732,1.4468637815794203,0.0,1.7910751942064365e+17,1.203263305540441e-10
76,5.580668840419721e+28,528960000.0,14499791.2977807,89.98017529316591,9.61607356379184e+29,0.732,1.4469029457679334,0.0,1.7909929719839366e+17,1.2031154644813207e-10
77,5.803772858098807e+28,535920000.0,14499522.826451767,89.97765550633952,9.999761643141349e+29,0.732,1.4469414733060093,0.0,1.7909096571186045e+17,1.2029669094438182e-10
78,6.032741273114623e+28,542880000.0,14499247.313935755,89.97512443181158,1.0393486011548615e+30,0.732,1.4469816508869635,0.0,1.7908252497767126e+17,1.20281521432982e-10
79,6.2676499096274765e+28,549840000.0,14498971.797479382,89.97253840240468,1.0797373872826644e+30,0.732,1.4470211919838092,0.0,1.790739750085758e+17,1.2026628066092278e-10
80,6.508574578721179e+28,556800000.0,14498689.241588492,89.96994108148331,1.121155231022649e+30,0.732,1.4470623829227707,0.0,1.7906531582163974e+17,1.2025072617860855e-10
81,6.75559107825191e+28,563760000.0,14498406.681567246,89.96728881482538,1.1636148284867928e+30,0.732,1.447102937548184,0.0,1.7905654742994602e+17,1.2023510057624463e-10
82,7.008775192662715e+28,570720000.0,14498117.08390876,89.96462525274787,1.2071288634340184e+30,0.732,1.4471451418097319,0.0,1.7904766985099846e+17,1.2021916156837937e-10
83,7.268202692833734e+28,577680000.0,14497827.481925493,89.96190675431049,1.251710007113098e+30,0.732,1.4471867099325246,0.0,1.7903868309821315e+17,1.2020315158449298e-10
84,7.533949335895376e+28,584640000.0,14497530.844146935,89.9591769564565,1.2973709181238552e+30,0.732,1.4472299274802545,0.0,1.7902958718953187e+17,1.2018682850719645e-10
85,7.806090865079965e+28,591600000.0,14497234.20184474,89.95639223185368,1.3441242422598848e+30,0.732,1.4472725090682532,0.0,1.7902038213870384e+17,1.20170434601314e-10
86,8.084703009533534e+28,598560000.0,14496930.525633832,89.9535962037457,1.3919826123709274e+30,0.732,1.4473167398647822,0.0,1.7901106796410864e+17,1.2015372792142746e-10
87,8.369861484168963e+28,605520000.0,14496626.844696008,89.95074525873414,1.440958648205384e+30,0.732,1.4473603348848343,0.0,1.790016446798284e+17,1.2013695056378474e-10
88,8.661641989476325e+28,612480000.0,14496316.131780624,89.94788300603761,1.4910649562739072e+30,0.732,1.4474055788918037,0.0,1.789921123046804e+17,1.2011986075883574e-10
89,8.960120211377574e+28,619440000.0,14496005.413930625,89.94496584651702,1.542314129691685e+30,0.732,1.44745018730978,0.0,1.789824708530796e+17,1.2010270043034186e-10
90,9.265371821035378e+28,626400000.0,14495687.666078752,89.94203737504078,1.5947187480432948e+30,0.732,1.44749644448786,0.0,1.7897272034428074e+17,1.200852279885079e-10
91,9.577472474709438e+28,633360000.0,14495369.913080145,89.93905400705428,1.6482913772247368e+30,0.732,1.447542066268661,0.0,1.789628607930316e+17,1.200676851807091e-10
92,9.896497813563732e+28,640320000.0,14495045.132099833,89.93605932275084,1.7030445693095916e+30,0.732,1.4475893365775545,0.0,1.7895289221902406e+17,1.2004983060078072e-10
93,1.0222523463524535e+29,647280000.0,14494720.345756251,89.93300975248509,1.7589908623907792e+30,0.732,1.447635971685112,0.0,1.7894281463733875e+17,1.2003190581582296e-10
94,1.0555625035086e+29,654240000.0,14494388.533495571,89.92994886145097,1.8161427804480682e+30,0.732,1.4476842550835602,0.0,1.7893262806810445e+17,1.2001366960716603e-10
95,1.0895878123169968e+29,661200000.0,14494056.715650667,89.92683309523677,1.8745128331895357e+30,0.732,1.447731903480845,0.0,1.7892233252673443e+17,1.1999536335775698e-10
96,1.1243358306929797e+29,668160000.0,14493717.873997657,89.92370600371278,1.9341135159204714e+30,0.732,1.4477811999266295,0.0,1.7891192803379427e+17,1.1997674604027427e-10
97,1.1598141149612042e+29,675120000.0,14493379.026535057,89.92052404802516,1.9949573093845163e+30,0.732,1.4478298615756509,0.0,1.789014146050298e+17,1.1995805884964474e-10
98,1.1960302198358463e+29,682080000.0,14493033.157417677,89.91733076239683,2.0570566796340071e+30,0.732,1.4478801710256008,0.0,1.7889079226144317e+17,1.1993906095373648e-10
99,1.2329916984069643e+29,689040000.0,14492687.282260934,89.91408262385555,2.120424077870767e+30,0.732,1.4479298458874164,0.0,1.7888006101911267e+17,1.199199933556009e-10
100,1.2707061021205112e+29,696000000.0,14492334.387647016,89.91082315065346,2.18507194031794e+30,0.732,1.4479811682974115,0.0,1.7886922089947677e+17,1.1990061542212484e-10
101,1.309180980764897e+29,702960000.0,14491981.486759553,89.90750883602325,2.2510126880604042e+30,0.732,1.4480318563321286,0.0,1.788582719189461e+17,1.198811679606406e-10
102,1.3484238824508047e+29,709920000.0,14491621.568656752,89.90418318192333,2.3182587269181456e+30,0.732,1.4480841916571032,0.0,1.788472140993953e+17,1.198614105408716e-10
103,1.388442353597963e+29,716880000.0,14491261.644041818,89.90080269811435,2.3868224472862677e+30,0.732,1.4481358928238834,0.0,1.7883604745756723e+17,1.1984158377059876e-10
